PLATE MJD FIBER PLUG_RA PLUG_DEC Z
3588 55184 66 11.07468 -0.1899228 -0.00045301
3588 55184 68 10.85833 -0.36047 0.99552
3588 55184 72 11.04051 -0.4909226 -0.00034391
3588 55184 82 10.74244 -0.7806493 0.00011502
3588 55184 84 10.77765 -1.027542 2.175
3588 55184 90 10.77853 -0.8256136 2.4883
3588 55184 92 10.83436 -0.655388 1.5505
3588 55184 94 10.84314 -1.062071 2.9022
3588 55184 96 10.85253 -0.9729495 1.1768
3588 55184 98 10.85652 -0.8653271 2.2425
3588 55184 100 10.84136 -1.226984 1.531
3588 55184 108 10.75646 -0.2109077 -0.00035773
3588 55184 112 10.72643 0.08268189 3.0987
3588 55184 120 10.79412 -0.577672 2.4678
3588 55184 122 10.66634 -1.225623 -0.00085376
3588 55184 130 10.66154 -0.7072495 2.8614
3588 55184 142 10.59278 -0.3181686 2.6263
3588 55184 148 10.60645 -0.6259026 3.2499
3588 55184 166 10.53854 -0.6238983 2.4478
3588 55184 168 10.55189 -0.6694421 -0.00071594
3588 55184 174 10.45081 -0.8761233 -0.00067511
3588 55184 176 10.52351 -1.244914 2.4721
3588 55184 184 10.44752 -0.6317434 1.1865
3588 55184 204 10.31025 -0.7027446 2.2297
3588 55184 210 10.33828 -1.205647 3.468
3588 55184 212 10.44518 -0.6934791 2.8639
3588 55184 214 10.41555 -0.6668421 0.83692
3588 55184 224 10.27818 -0.285471 -0.00047802
3588 55184 230 10.37419 -0.3587262 1.6233
3588 55184 232 10.30885 -0.1981729 2.9345
3588 55184 240 10.28456 -0.4622605 0.84313
3588 55184 242 10.18251 -1.075136 2.1928
3588 55184 250 10.10222 -1.207966 2.2452
3588 55184 258 10.19444 -0.9874101 -0.00060202
3588 55184 260 10.15013 -0.974658 -0.00026844
3588 55184 266 10.18031 -0.1120322 2.8081
3588 55184 268 10.09967 -0.1308963 -0.00013333
3588 55184 274 10.19391 0.007524058 -0.00028919
3588 55184 276 10.18361 -0.5552742 -2.4643e-05
3588 55184 284 9.942221 -1.093202 -0.00030073
3588 55184 288 10.08185 -0.7703281 -6.8845e-05
3588 55184 302 10.03709 -0.6444462 2.8288
3588 55184 304 9.846607 -0.2479816 2.243
3588 55184 310 10.01819 -0.3594961 8.5151e-05
3588 55184 312 9.909687 -0.3273288 -0.00042317
3588 55184 314 9.852848 -0.1910448 0.21748
3588 55184 316 9.984263 -0.02125975 -0.00025618
3588 55184 320 9.954617 0.09109245 0.7948
3588 55184 338 9.799232 -0.7227874 1.5021
3588 55184 342 9.767923 -0.4435327 2.1509
3588 55184 346 9.68531 -0.3148825 2.352
3588 55184 348 9.818127 -0.1138977 0.00070289
3588 55184 352 9.636434 -0.2382024 0.00085791
3588 55184 354 9.63175 0.09791198 -0.00027416
3588 55184 358 9.76147 -0.09000851 2.293
3588 55184 360 9.665417 -0.1235818 2.2441
3588 55184 362 9.747253 -0.71452 2.5103
3588 55184 364 9.558826 -1.152022 -0.00045063
3588 55184 366 9.500761 -0.9852194 3.0403
3588 55184 370 9.620352 -1.037773 3.4332
3588 55184 372 9.526847 -0.9345083 2.3085
3588 55184 378 9.725386 -0.8675087 0.87695
3588 55184 384 9.578344 -0.372957 -0.00058955
3588 55184 386 9.3763 -0.6907908 0.28588
3588 55184 390 9.557736 -0.2266519 2.4908
3588 55184 392 9.553397 -0.4827729 -0.00039301
3588 55184 394 9.527831 0.04277118 -0.00059529
3588 55184 396 9.503987 -0.3890604 2.4666
3588 55184 401 9.378571 -0.8825263 2.469
3588 55184 414 9.497405 -1.119565 4.9301e-06
3588 55184 416 9.467912 -0.7932152 -0.00026908
3588 55184 418 9.396912 -1.175742 1.0905
3588 55184 420 9.442558 -1.245639 2.6717
3588 55184 421 9.182207 -0.732149 2.3179
3588 55184 422 9.449429 -0.586037 2.7853
3588 55184 438 9.392323 -0.3328868 0.00014408
3588 55184 442 9.389922 -0.6547207 2.9591
3588 55184 457 9.381088 -1.24606 4.1897
3588 55184 468 9.101937 -0.408117 2.3136
3588 55184 470 9.164764 -0.03242349 2.2072
